epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,336.836,0.33094,0.29232,1.16635,0.9649,0.98173,0.97488,0.97267,0.22049,0.29525,1.06691,0.0003566,0.0003566,0.0003566
168,339.029,0.34539,0.29739,1.22555,0.96488,0.98136,0.97559,0.97339,0.21646,0.2923,1.06348,0.0003467,0.0003467,0.0003467
169,341.265,0.32239,0.2723,1.14527,0.96488,0.98132,0.97573,0.97452,0.21577,0.29175,1.06092,0.0003368,0.0003368,0.0003368
170,343.525,0.31991,0.26892,1.14035,0.96488,0.98124,0.97636,0.97512,0.22574,0.29551,1.06218,0.0003269,0.0003269,0.0003269
171,345.867,0.34888,0.28661,1.17225,0.96488,0.98125,0.9761,0.97483,0.22699,0.2929,1.06165,0.000317,0.000317,0.000317
172,348.106,0.30828,0.27513,1.14513,0.96488,0.98131,0.97671,0.97549,0.22101,0.29318,1.0663,0.0003071,0.0003071,0.0003071
173,350.332,0.33167,0.28654,1.15838,0.96489,0.98153,0.97671,0.97448,0.22145,0.29259,1.06988,0.0002972,0.0002972,0.0002972
174,352.762,0.33753,0.28108,1.18202,0.9649,0.98193,0.97671,0.9735,0.21845,0.29118,1.07926,0.0002873,0.0002873,0.0002873
175,355.09,0.32779,0.26789,1.1594,0.9644,0.98214,0.97627,0.97511,0.20684,0.29415,1.10218,0.0002774,0.0002774,0.0002774
176,357.532,0.3217,0.27918,1.14771,0.96409,0.98214,0.97613,0.97505,0.20947,0.29487,1.11945,0.0002675,0.0002675,0.0002675
177,359.894,0.33813,0.28104,1.19531,0.96236,0.98214,0.97529,0.97418,0.20773,0.29242,1.13337,0.0002576,0.0002576,0.0002576
178,362.217,0.33324,0.28268,1.13679,0.9625,0.98214,0.97496,0.97384,0.20913,0.28606,1.13153,0.0002477,0.0002477,0.0002477
179,364.663,0.32505,0.27123,1.15004,0.96392,0.98214,0.97554,0.97444,0.21173,0.28177,1.13108,0.0002378,0.0002378,0.0002378
180,367.027,0.34242,0.28605,1.12864,0.96397,0.98214,0.97563,0.97447,0.21384,0.26691,1.12032,0.0002279,0.0002279,0.0002279
181,369.357,0.32611,0.27803,1.15251,0.96398,0.98214,0.97563,0.97443,0.21189,0.26874,1.11694,0.000218,0.000218,0.000218
182,371.748,0.34536,0.28119,1.17077,0.96399,0.98214,0.97613,0.97493,0.21082,0.26752,1.11484,0.0002081,0.0002081,0.0002081
