epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,288.263,0.34692,0.3071,1.19105,0.96488,0.98119,0.98148,0.98043,0.23429,0.33803,1.03784,0.0007823,0.0007823,0.0007823
125,290.648,0.36849,0.29259,1.2339,0.96488,0.98109,0.98093,0.9788,0.24683,0.33885,1.03423,0.0007724,0.0007724,0.0007724
126,293.016,0.36259,0.31257,1.22429,0.96488,0.98114,0.98179,0.97628,0.25028,0.33381,1.0229,0.0007625,0.0007625,0.0007625
127,295.552,0.37202,0.295,1.22004,0.9649,0.98181,0.98259,0.98027,0.23774,0.33108,1.01309,0.0007526,0.0007526,0.0007526
128,297.917,0.33342,0.28586,1.18755,0.96473,0.98214,0.98108,0.97887,0.22787,0.3229,1.00912,0.0007427,0.0007427,0.0007427
129,300.307,0.34879,0.2892,1.20811,0.96403,0.98214,0.97832,0.97715,0.22258,0.30153,1.02364,0.0007328,0.0007328,0.0007328
130,302.686,0.3499,0.29611,1.19036,0.96399,0.98214,0.97842,0.9772,0.20969,0.29625,1.01098,0.0007229,0.0007229,0.0007229
131,305.081,0.33317,0.28666,1.19026,0.96398,0.98214,0.97873,0.97873,0.21501,0.27828,1.00655,0.000713,0.000713,0.000713
132,307.467,0.36542,0.29439,1.21404,0.96395,0.98214,0.97569,0.97569,0.22854,0.29002,1.01311,0.0007031,0.0007031,0.0007031
133,309.841,0.36586,0.30011,1.22197,0.96394,0.98214,0.97548,0.97394,0.2192,0.27201,1.00827,0.0006932,0.0006932,0.0006932
134,312.349,0.35049,0.28425,1.18007,0.96395,0.98214,0.97328,0.97328,0.21369,0.27366,1.00856,0.0006833,0.0006833,0.0006833
135,314.715,0.3389,0.28817,1.22724,0.96395,0.98214,0.97321,0.96989,0.21654,0.266,1.0095,0.0006734,0.0006734,0.0006734
136,317.075,0.35279,0.29091,1.18334,0.96394,0.98214,0.97482,0.97151,0.23503,0.26733,1.01714,0.0006635,0.0006635,0.0006635
137,319.455,0.33995,0.281,1.20487,0.96394,0.98214,0.97739,0.97739,0.23037,0.26913,1.03387,0.0006536,0.0006536,0.0006536
138,321.857,0.3235,0.28307,1.1542,0.96396,0.98214,0.97748,0.97748,0.22488,0.26625,1.03003,0.0006437,0.0006437,0.0006437
139,324.204,0.33819,0.30111,1.21158,0.96394,0.98214,0.97581,0.97581,0.23003,0.27265,1.03156,0.0006338,0.0006338,0.0006338
140,326.582,0.34834,0.29661,1.21344,0.96395,0.98214,0.97828,0.97573,0.22258,0.28556,1.01957,0.0006239,0.0006239,0.0006239
141,328.97,0.35968,0.29713,1.25752,0.96392,0.98214,0.9798,0.97734,0.223,0.28684,1.00514,0.000614,0.000614,0.000614
142,331.489,0.3445,0.28717,1.2277,0.96393,0.98214,0.98046,0.97927,0.21974,0.28815,1.00861,0.0006041,0.0006041,0.0006041
143,333.892,0.33359,0.27553,1.18433,0.96396,0.98214,0.98126,0.98126,0.23102,0.29586,0.99994,0.0005942,0.0005942,0.0005942
144,336.258,0.32108,0.27515,1.20197,0.96393,0.98214,0.98107,0.98107,0.21887,0.29854,0.99719,0.0005843,0.0005843,0.0005843
145,338.668,0.34155,0.30715,1.2011,0.96365,0.98214,0.98143,0.98143,0.22911,0.31386,0.99653,0.0005744,0.0005744,0.0005744
146,341.062,0.31077,0.27473,1.15977,0.96334,0.98214,0.98127,0.98127,0.22913,0.31601,1.00034,0.0005645,0.0005645,0.0005645
147,343.431,0.34045,0.28417,1.21831,0.96353,0.98214,0.9816,0.9816,0.22125,0.30976,1.00365,0.0005546,0.0005546,0.0005546
148,345.846,0.33105,0.29126,1.22545,0.96379,0.98214,0.982,0.982,0.22254,0.29749,1.00641,0.0005447,0.0005447,0.0005447
149,348.192,0.35266,0.29798,1.25645,0.96413,0.98214,0.98178,0.98178,0.23125,0.29218,1.00424,0.0005348,0.0005348,0.0005348
150,350.596,0.30849,0.26914,1.1583,0.96405,0.98214,0.98143,0.9794,0.23388,0.28106,0.99927,0.0005249,0.0005249,0.0005249
151,353.147,0.31169,0.266,1.15598,0.964,0.98214,0.97993,0.97767,0.22195,0.26893,0.99489,0.000515,0.000515,0.000515
152,355.679,0.30257,0.26393,1.15797,0.96398,0.98214,0.97993,0.97772,0.22103,0.26894,0.99359,0.0005051,0.0005051,0.0005051
153,358.095,0.32496,0.27594,1.19076,0.96397,0.98214,0.97886,0.97677,0.22882,0.2687,1.00164,0.0004952,0.0004952,0.0004952
154,360.436,0.31801,0.25952,1.17932,0.96398,0.98214,0.97847,0.97637,0.23153,0.27171,1.01889,0.0004853,0.0004853,0.0004853
155,362.922,0.34187,0.29543,1.21214,0.96399,0.98214,0.97801,0.97709,0.22186,0.26966,1.03938,0.0004754,0.0004754,0.0004754
156,365.534,0.33009,0.28862,1.18453,0.96548,0.99901,0.98254,0.98018,0.21686,0.24926,1.01249,0.0004655,0.0004655,0.0004655
157,367.984,0.30648,0.26839,1.15579,0.96396,0.98214,0.98093,0.97826,0.21487,0.26385,1.00812,0.0004556,0.0004556,0.0004556
158,370.463,0.32502,0.27239,1.13327,0.96397,0.98214,0.9808,0.97808,0.21475,0.27305,1.01238,0.0004457,0.0004457,0.0004457
159,372.989,0.35239,0.28822,1.22069,0.96395,0.98214,0.97604,0.9725,0.21465,0.27316,1.01871,0.0004358,0.0004358,0.0004358
160,375.706,0.32759,0.27357,1.22903,0.96394,0.98214,0.97604,0.97604,0.21347,0.28263,1.02289,0.0004259,0.0004259,0.0004259
161,378.565,0.33557,0.28363,1.18049,0.96395,0.98214,0.97477,0.97477,0.20801,0.27413,1.02062,0.000416,0.000416,0.000416
162,381.256,0.29823,0.25514,1.16837,0.96394,0.98214,0.97296,0.97296,0.2143,0.27197,1.01547,0.0004061,0.0004061,0.0004061
163,383.776,0.3151,0.27002,1.19934,0.96392,0.98214,0.97819,0.97741,0.21462,0.26646,1.0152,0.0003962,0.0003962,0.0003962
164,386.262,0.34088,0.27721,1.1884,0.96387,0.98214,0.97628,0.97411,0.21602,0.26333,1.01694,0.0003863,0.0003863,0.0003863
165,388.833,0.31085,0.26655,1.15811,0.96382,0.98214,0.98162,0.97897,0.21533,0.25489,1.0209,0.0003764,0.0003764,0.0003764
166,391.404,0.30461,0.26944,1.16282,0.9638,0.98214,0.98294,0.98028,0.21477,0.25469,1.02535,0.0003665,0.0003665,0.0003665
167,394.343,0.3235,0.2797,1.17789,0.96383,0.98214,0.98005,0.97899,0.21646,0.27064,1.02592,0.0003566,0.0003566,0.0003566
168,397.276,0.34273,0.2958,1.22933,0.96388,0.98214,0.9799,0.97886,0.21511,0.27523,1.02417,0.0003467,0.0003467,0.0003467
169,400.179,0.3207,0.25834,1.17511,0.96389,0.98214,0.98077,0.97958,0.20734,0.27555,1.02568,0.0003368,0.0003368,0.0003368
170,402.956,0.30827,0.26633,1.15598,0.96392,0.98214,0.98112,0.97992,0.20548,0.27005,1.03386,0.0003269,0.0003269,0.0003269
171,405.786,0.32445,0.27809,1.18699,0.96393,0.98214,0.98031,0.98031,0.20856,0.26774,1.03402,0.000317,0.000317,0.000317
172,408.695,0.29727,0.26354,1.16933,0.96391,0.98214,0.98066,0.97957,0.21185,0.26844,1.02468,0.0003071,0.0003071,0.0003071
173,411.579,0.33195,0.27692,1.1797,0.96391,0.98214,0.98047,0.97939,0.21262,0.27092,1.02853,0.0002972,0.0002972,0.0002972
174,414.298,0.32918,0.26998,1.21292,0.96394,0.98214,0.98131,0.98025,0.21515,0.27642,1.03748,0.0002873,0.0002873,0.0002873
175,417.081,0.31814,0.26368,1.17558,0.9632,0.98214,0.98184,0.98078,0.20207,0.28479,1.04598,0.0002774,0.0002774,0.0002774
176,420.025,0.3131,0.2754,1.15363,0.96298,0.98214,0.98198,0.97993,0.20492,0.28758,1.05373,0.0002675,0.0002675,0.0002675
177,422.864,0.32178,0.26888,1.18369,0.96301,0.98214,0.98287,0.98079,0.20742,0.27885,1.03607,0.0002576,0.0002576,0.0002576
178,425.606,0.31592,0.25783,1.16129,0.96326,0.98214,0.98295,0.9809,0.20865,0.27519,1.02333,0.0002477,0.0002477,0.0002477
